Semester( number like: 1st, 2nd...);Age( Years: 18, 19....);Height( inches like:1 feet);Weight:( in kg);Gender;Religion;Permanent Residence;Current Residence;Family Type;Number of siblings (numbers: 1, 2...);Father's Occupation;Mother's Occupation;Do you think your family environment is friendly?;Academic performance(CGPA like: 3.5.....);Daily average study hour;Daily social media uses hours;Relationship Status;Smoking status;Do you perform religious practice regularly?;How much satisfied with your academic activities(i,e...Presentations, Assignments, Tutorials..);Do you do any extra curricular activities?;If yes what are that...;Do you feel that in the aspect of career building your subject has adequate opportunity in our country?;Do your think your subject- related job gets enough social value in our country ;Have you ever thought about or attempted to kill yourself?;How often have you thought about killing yourself in the past year?;Have you ever told someone that you were going to commit suicide, or that you might do it?;How likely is it that you will attempt suicide someday?;How SATISFIED/dissatisfied are you with your current sleep pattern?;To what extent do you consider your sleep problem to INTERFERE with your daily functioning (e.g. daytime fatigue, ability to function at work/daily chores, concentration, memory, mood, etc.).;How NOTICEABLE to others do you think your sleeping problem is in terms of impairing the quality of your life?;How WORRIED/distressed are you about your current sleep problem?;I found it hard to wind down;"
 I was aware of the dryness of my mouth";"
I couldn’t seem to experience any positive feelings at all";"
 I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)";"
 I found it difficult to work up the initiative to do things"; I tended to over-react to situations;"
I experienced trembling (e.g. in the hands)";"
I felt that I was using a lot of nervous energy";I was worried about situations in which I might panic and make a fool of myself;I felt that I had nothing to look forward to;I found myself getting agitated; I found it difficult to relax;"
 I felt down-hearted and blue";I was intolerant of anything that kept me from getting on with what I was doing;I felt I was close to panic; I was unable to become enthusiastic about anything; I felt I wasn’t worth much as a person; I felt that I was rather touchy; I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat); I felt scared without any good reason;I felt that life was meaningless
5th;24;5,6;54;Male;Islam;Urban;Rented House or Mess;Nuclear;3;Service Holder;House Wife;Dis-agree;3;1-3 hours;1-3 hours;Single;No;Regularly;No;yes;Playing;Agree;Agree;Never;Never;No;Never;Dissatisfied;A little;Somewhat;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
8th;21;5,1;46 kg;Female;Islam;Rural;Rented House or Mess;Nuclear;2;Business;House Wife;Agree;3,3;1-3 hours;1-3 hours;Engaged;No;Offen;yes;yes;Dance,song,painting, leadership,good communication ;Agree;Agree;Never;Never;No;Never;Satisfied;Somewhat;Much;Very Much;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
8th;22;5 feet ;50 kg;Female;Islam;Rural;Own House;Nuclear;0;Business;House Wife;Neural;3,39;4-6 hours;1-3 hours;Married;No;Regularly;yes;yes;Drawing ;Strongly_disagree;Agree;Never;Never;No;No chance at all;Satisfied;A little;Somewhat;Barely;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
7th;22;5 feet 2 inch;63;Female;Islam;Urban;Own House;Nuclear;2;Service Holder;House Wife;Agree;3,88;4-6 hours;1-3 hours;Single;No;Regularly;yes;yes;I do tuitions ;Agree;Agree;It was just a brief passing thought;Often (3-4 times);No;No chance at all;Dissatisfied;Much;Barely;Not at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time
5th;23;"5.5""";62kg;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Business;House Wife;Strongly-agree;3,48;1-3 hours;4-6 hours;Single;No;Rarely;yes;No;No;Agree;Agree;Never;Never;No;Never;Very Dissatisfied;Very Much Interfering;Very Much Noticeable;Very Much;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time
4th;22;5feet 7 inch;56;Male;Islam;Urban;Rented House or Mess;Nuclear;1;Business;House Wife;Agree;3;4-6 hours;1-3 hours;Single;No;Regularly;yes;yes;Dibets;Neutral;Neutral;I have had a plan at least once to kill myself but did not try to do it;Never;No;Never;Satisfied;A little;Somewhat;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all
7 th;22,5;5 feet 7 inches ;73;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Business;House Wife;Agree;3,9;1-3 hours;1-3 hours;Single;No;Offen;No;No;MD Samiur Rahman;Neutral;Neutral;I have had a plan at least once to kill myself but did not try to do it;Very Often (5 or more times);No;Never;Moderately Satisfied;Somewhat;Somewhat;Somewhat;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
6th;23;"5.11""";72;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Business;House Wife;Neural;3;7-9 hours;4-6 hours;Single;Yes;Offen;No;yes;I am a graphic designer.;Dis-agree;dis-agree;It was just a brief passing thought;Sometimes (2 times);No;No chance at all;Dissatisfied;Much;Somewhat;Much;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time
7th;22;5 feet 8 inch;58;Male;Islam;Urban;Rented House or Mess;Nuclear;1;Service Holder;House Wife;Neural;3.7i;1-3 hours;1-3 hours;Single;No;Offen;yes;No;Nothing ;Agree;Agree;Never;Never;No;No chance at all;Dissatisfied;Somewhat;Barely;Somewhat;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time
5th;22;5 feet 7 inch ;63 kg;Male;Islam;Rural;Rented House or Mess;Join or Extended;4;Others;House Wife;Agree;3,15;1-3 hours;1-3 hours;Single;No;Offen;No;No;No;Neutral;Neutral;Never;Never;No;No chance at all;Dissatisfied;Somewhat;Not at all Noticeable;Somewhat;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all
